nct_id,title,status,phase,study_type,start_date,completion_date,conditions,interventions
NCT01494662,HKI-272 for HER2-Positive Breast Cancer and Brain Metastases,COMPLETED,PHASE2,INTERVENTIONAL,2012-02,2024-04-19,Breast Cancer,HKI-272 | Surgical Resection | Capecitabine | HKI-272 | Ado-Trastuzumab Emtansine
NCT07180056,Adjuvant CDK4/6 Inhibitor Use in HR+/HER2- Breast Cancer,RECRUITING,,OBSERVATIONAL,2025-08-28,2033-02,Breast Cancer,CDK4/6 inhibitor
NCT02896855,A Study to Evaluate the Efficacy and Safety of Pertuzumab + Trastuzumab + Docetaxel Versus Placebo + Trastuzumab + Docetaxel in Previously Untreated Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Metastatic Breast Cancer,COMPLETED,PHASE3,INTERVENTIONAL,2016-09-13,2021-01-22,Breast Cancer,Docetaxel | Pertuzumab | Placebo | Trastuzumab
NCT00353717,Combined Treatment of Cetuximab and Paclitaxel in Basal Like Breast Carcinoma,UNKNOWN,PHASE1 / PHASE2,INTERVENTIONAL,2006-11,2009-09,Breast Neoplasms,cetuximab paclitaxel
NCT01441596,Lux-Breast 3; Afatinib Alone or in Combination With Vinorelbine in Patients With Human Epidermal Growth Factor Receptor 2 (HER2) Positive Breast Cancer Suffering From Brain Metastases,COMPLETED,PHASE2,INTERVENTIONAL,2011-10,2014-08,Breast Neoplasms | Neoplasm Metastasis,Vinorelbine | Investigator's choice of treatment | afatinib | afatinib
NCT01526473,A Phase I Study To Evaluate The Antitumor Activity And Safety Of AVX901,COMPLETED,PHASE1,INTERVENTIONAL,2012-02,2017-12,HER2+ Cancer,AVX901
NCT00622674,Bortezomib and Cetuximab in Treating Patients With Advanced Solid Tumors,COMPLETED,PHASE1,INTERVENTIONAL,2005-11,2010-02,"Breast Cancer | Colorectal Cancer | Head and Neck Cancer | Kidney Cancer | Lung Cancer | Pancreatic Cancer | Sarcoma | Unspecified Adult Solid Tumor, Protocol Specific",cetuximab | bortezomib
NCT02513394,PALbociclib CoLlaborative Adjuvant Study,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2015-08,2028-12,Breast Cancer,Palbociclib | Standard Adjuvant Endocrine Therapy
NCT03319459,FATE-NK100 as Monotherapy and in Combination With Monoclonal Antibody in Subjects With Advanced Solid Tumors,COMPLETED,PHASE1,INTERVENTIONAL,2018-01-18,2020-12-15,HER2 Positive Gastric Cancer | Colorectal Cancer | Head and Neck Squamous Cell Carcinoma | EGFR Positive Solid Tumor | Advanced Solid Tumors | HER2-positive Breast Cancer | Hepatocellular Carcinoma | Non Small Cell Lung Cancer | Renal Cell Carcinoma | Pancreatic Cancer | Melanoma,FATE-NK100 | Cetuximab | Trastuzumab
NCT07593196,HER2-positive Metastatic Breast Cancer in Kazakhstan,NOT_YET_RECRUITING,,OBSERVATIONAL,2026-05-19,2027-01-30,Metastatic Breast Cancer,
